objectid,title,filename,format,date,currency,amount,subunit,description,subject,location,type,rights,latitude,longitude
USD_50C_1976_1,US Half Dollar 1976,unitedstates_50cents_1976,image/jpeg,1976,USD,50,Cent,,united states; money,United States,Image; Still Image,,,
USD_50C_1968_1,US Half Dollar 1968,unitedstates_50cents_1977,image/jpeg,1968,USD,50,Cent,,united states; money,United States,Image; Still Image,,,
USD_50C_1998_1,US Half Dollar 1998,unitedstates_50cents_1978,image/jpeg,1998,USD,50,Cent,,united states; money,United States,Image; Still Image,,,
USD_50C_1998_2,US Dollar __,unitedstates_50cents_1979,image/jpeg,,USD,1,Dollar,,united states; money,United States,Image; Still Image,,,
USD_50C_1998_3,US Half Dollar 1996,unitedstates_50cents_1980,image/jpeg,1994,USD,50,Cent,,united states; money,United States,Image; Still Image,,,
USD_50C_1998_4,US Half Dollar 1966,unitedstates_50cents_1981,image/jpeg,1966,USD,50,Cent,,united states; money,United States,Image; Still Image,,,
USD_50C_1998_5,US Cent 1989,unitedstates_50cents_1982,image/jpeg,1989,USD,1,Cent,,united states; money,United States,Image; Still Image,,,
USD_50C_1998_6,US Cent 1977,unitedstates_50cents_1983,image/jpeg,1977,USD,1,Cent,,united states; money,United States,Image; Still Image,,,
USD_50C_1998_7,US Cent 1955,unitedstates_50cents_1984,image/jpeg,1955,USD,1,Cent,,united states; money,United States,Image; Still Image,,,
USD_50C_1998_8,US Cent 1994,unitedstates_50cents_1985,image/jpeg,1994,USD,1,Cent,,united states; money,United States,Image; Still Image,,,
USD_50C_1998_9,US Cent 1995,unitedstates_50cents_1986,image/jpeg,1995,USD,1,Cent,,united states; money,United States,Image; Still Image,,,
USD_50C_1998_10,US Cent 1990,unitedstates_50cents_1987,image/jpeg,1990,USD,1,Cent,,united states; money,United States,Image; Still Image,,,
USD_50C_1998_11,US Cent 1991,unitedstates_50cents_1988,image/jpeg,1942,USD,50,Cent,,united states; money,United States,Image; Still Image,,,
USD_50C_1998_12,US Cent 1992,unitedstates_50cents_1989,image/jpeg,1996,CAD,2,Dollar,,canada; money,Canada,Image; Still Image,,,
USD_50C_1998_13,US Cent 1993,unitedstates_50cents_1990,image/jpeg,1979,USD,1,Dollar,,united states; money,United States,Image; Still Image,,,
USD_50C_1998_14,US Cent 1994,unitedstates_50cents_1991,image/jpeg,1988,CAD,1,Dollar,,canada; money,Canada,Image; Still Image,,,
USD_50C_1998_15,US Cent 1995,unitedstates_50cents_1992,image/jpeg,1995,CNY,2,Dollar,,china; money,China,Image; Still Image,,,
USD_50C_1998_16,US Cent 1996,unitedstates_50cents_1993,image/jpeg,2003,IDR,500,Rupiah,,indonesia; money,Indonesia,Image; Still Image,,,
USD_50C_1998_17,US Cent 1997,unitedstates_50cents_1994,image/jpeg,,EGP,1,Pound,,egypt; money,Egypt,Image; Still Image,,,
USD_50C_1998_18,US Cent 1998,unitedstates_50cents_1995,image/jpeg,1997,MXN,5,Peso,,mexico; money,Mexico,Image; Still Image,,,
USD_50C_1998_19,US Cent 1999,unitedstates_50cents_1996,image/jpeg,2004,MXN,2,Peso,,mexico; money,Mexico,Image; Still Image,,,
USD_50C_1998_20,US Cent 2000,unitedstates_50cents_1997,image/jpeg,1979,MXN,1,Peso,,mexico; money,Mexico,Image; Still Image,,,
