objectid,title,filename,format,date,currency,amount,subunit,description,subject,location,type,rights,latitude,longitude
usd_50c_1976_1,US Half Dollar 1976,usd_50c_1976_1,image/jpeg,1976,USD,50,Cent,,united states; money,United States,Image; Still Image,,,
usd_50c_1968_1,US Half Dollar 1968,usd_50c_1968_1,image/jpeg,1968,USD,50,Cent,,united states; money,United States,Image; Still Image,,,
usd_50c_1998_1,US Half Dollar 1998,usd_50c_1998_1,image/jpeg,1998,USD,50,Cent,,united states; money,United States,Image; Still Image,,,
usd_1d_year_1,US Dollar __,usd_1d_year_1,image/jpeg,,USD,1,Dollar,,united states; money,United States,Image; Still Image,,,
usd_50c_1994_1,US Half Dollar 1996,usd_50c_1994_1,image/jpeg,1994,USD,50,Cent,,united states; money,United States,Image; Still Image,,,
usd_50c_1966_1,US Half Dollar 1966,usd_50c_1966_1,image/jpeg,1966,USD,50,Cent,,united states; money,United States,Image; Still Image,,,
usd_1c_1989_1,US Cent 1989,usd_1c_1989_1,image/jpeg,1989,USD,1,Cent,,united states; money,United States,Image; Still Image,,,
usd_1c_1977_1,US Cent 1977,usd_1c_1977_1,image/jpeg,1977,USD,1,Cent,,united states; money,United States,Image; Still Image,,,
usd_1c_1955_1,US Cent 1955,usd_1c_1955_1,image/jpeg,1955,USD,1,Cent,,united states; money,United States,Image; Still Image,,,
usd_1c_1994_1,US Cent 1994,usd_1c_1994_1,image/jpeg,1994,USD,1,Cent,,united states; money,United States,Image; Still Image,,,
usd_1c_1998_1,US Cent 1995,usd_1c_1998_1,image/jpeg,1995,USD,1,Cent,,united states; money,United States,Image; Still Image,,,
usd_1c_1990_1,US Cent 1990,usd_1c_1990_1,image/jpeg,1990,USD,1,Cent,,united states; money,United States,Image; Still Image,,,
usd_50c_1942_1,US Half Dollar 1942,usd_50c_1942_1,image/jpeg,1942,USD,50,Cent,,united states; money,United States,Image; Still Image,,,
cad_2d_1996_1,US Cent 1992,cad_2d_1996_1,image/jpeg,1996,CAD,2,Dollar,,canada; money,Canada,Image; Still Image,,,
usd_1d_1979_1,US Cent 1993,usd_1d_1979_1,image/jpeg,1979,USD,1,Dollar,,united states; money,United States,Image; Still Image,,,
cad_1d_1988_1,US Cent 1994,cad_1d_1988_1,image/jpeg,1988,CAD,1,Dollar,,canada; money,Canada,Image; Still Image,,,
cny_2d_1995_1,US Cent 1995,cny_2d_1995_1,image/jpeg,1995,CNY,2,Dollar,,china; money,China,Image; Still Image,,,
